#assembly	accession	start	stop	name	query	e-value	score	bias
GCF_000006825.1	NC_002663.1	1327184	1324014	lcl|ORF1794_NC_002663.1:1327184:1324014	TIGR01865.1	1.7e-257	853.7	12.8
GCF_000008985.1	NC_006570.2	601161	604532	lcl|ORF129_NC_006570.2:601161:604532	TIGR03031.1	0	1329.8	59.8
GCF_000009245.1	NC_007880.1	1263688	1262507	lcl|ORF1318_NC_007880.1:1263688:1262507	TIGR03031.1	7.6e-125	414.7	23.0
GCF_000009245.1	NC_007880.1	1261533	1259074	lcl|ORF1616_NC_007880.1:1261533:1259074	TIGR03031.1	4.6e-123	408.8	17.0
GCF_000009325.1	NC_008245.1	601114	604485	lcl|ORF429_NC_008245.1:601114:604485	TIGR03031.1	0	1329.8	59.8
GCF_000011405.1	NC_017463.1	1267174	1265993	lcl|ORF1318_NC_017463.1:1267174:1265993	TIGR03031.1	7.6e-125	414.7	23.0
GCF_000011405.1	NC_017463.1	1265019	1262566	lcl|ORF1606_NC_017463.1:1265019:1262566	TIGR03031.1	1.6e-122	407.0	16.5
GCF_000014605.1	NC_008369.1	1267174	1265993	lcl|ORF1316_NC_008369.1:1267174:1265993	TIGR03031.1	7.6e-125	414.7	23.0
GCF_000014605.1	NC_008369.1	1265019	1262566	lcl|ORF1604_NC_008369.1:1265019:1262566	TIGR03031.1	1.6e-122	407.0	16.5
GCF_000014645.1	NC_008601.1	810051	814940	lcl|ORF159_NC_008601.1:810051:814940	TIGR03031.1	0	1153.7	59.5
GCF_000016105.1	NC_009257.1	1335802	1332425	lcl|ORF1582_NC_009257.1:1335802:1332425	TIGR03031.1	0	1324.0	60.7
GCF_000017245.1	NC_009655.1	431927	435115	lcl|ORF760_NC_009655.1:431927:435115	TIGR01865.1	1.6e-223	741.5	11.6
GCF_000017785.1	NC_009749.1	1263321	1262140	lcl|ORF1593_NC_009749.1:1263321:1262140	TIGR03031.1	7.5e-125	414.7	23.0
GCF_000017785.1	NC_009749.1	1261166	1258707	lcl|ORF1002_NC_009749.1:1261166:1258707	TIGR03031.1	4.6e-123	408.8	17.0
GCF_000018925.1	NC_010677.1	1349377	1348274	lcl|ORF1568_NC_010677.1:1349377:1348274	TIGR03031.1	3.8e-154	511.6	22.2
GCF_000018925.1	NC_010677.1	1348140	1345375	lcl|ORF1018_NC_010677.1:1348140:1345375	TIGR03031.1	2e-120	400.1	18.8
GCF_000018925.1	NC_010677.1	1350289	1349789	lcl|ORF1567_NC_010677.1:1350289:1349789	TIGR03031.1	1.8e-59	198.4	1.5
GCF_000023305.1	NC_017453.1	601218	604589	lcl|ORF127_NC_017453.1:601218:604589	TIGR03031.1	0	1329.8	59.8
GCF_000048645.1	NC_006368.1	183830	187948	lcl|ORF981_NC_006368.1:183830:187948	TIGR03031.1	0	1158.4	30.2
GCF_000948985.1	NZ_JYNJ01000065.1	7963	8883	lcl|ORF13_NZ_JYNJ01000065.1:7963:8883	TIGR01865.1	5.7e-06	23.5	0.0
GCF_000948985.1	NZ_JYNJ01000092.1	3953	5401	lcl|ORF3_NZ_JYNJ01000092.1:3953:5401	TIGR01865.1	8.9e-05	19.5	0.4
GCF_000948985.1	NZ_JYNJ01000065.1	7963	8883	lcl|ORF13_NZ_JYNJ01000065.1:7963:8883	TIGR03031.1	0.0085	12.9	0.2
GCF_002215215.1	NZ_CP018632.1	7343403	7342849	lcl|ORF5216_NZ_CP018632.1:7343403:7342849	TIGR01865.1	2.8e-06	24.8	0.0
GCF_009811535.1	NZ_BLIM01000207.1	7195	6641	lcl|ORF7_NZ_BLIM01000207.1:7195:6641	TIGR01865.1	0.00024	18.1	0.0
GCF_010592905.1	NZ_VLMM01000013.1	74638	73625	lcl|ORF84_NZ_VLMM01000013.1:74638:73625	TIGR01865.1	0.00039	17.5	0.0
GCF_010592905.1	NZ_VLMM01000003.1	68348	69028	lcl|ORF104_NZ_VLMM01000003.1:68348:69028	TIGR03031.1	0.034	11.0	0.0
GCF_001467875.1	NZ_LNYM01000011.1	15127	13328	lcl|ORF13_NZ_LNYM01000011.1:15127:13328	TIGR01865.1	0.0066	12.1	0.1
GCF_001954975.1	NZ_MODL01000045.1	56689	57081	lcl|ORF70_NZ_MODL01000045.1:56689:57081	TIGR01865.1	0.0086	12.6	0.1
GCF_008977525.1	NZ_BKEE01000028.1	16982	18043	lcl|ORF14_NZ_BKEE01000028.1:16982:18043	TIGR01865.1	2.6e-06	23.7	0.2
GCF_012328685.1	NZ_JAAXYL010000005.1	271730	271362	lcl|ORF131_NZ_JAAXYL010000005.1:271730:271362	TIGR01865.1	0.062	9.8	0.0
GCF_008641995.1	NZ_VKFS01000003.1	159134	158511	lcl|ORF506_NZ_VKFS01000003.1:159134:158511	TIGR01865.1	0.021	11.3	5.9
GCF_003207435.1	NZ_QITC01000010.1	91936	90236	lcl|ORF57_NZ_QITC01000010.1:91936:90236	TIGR01865.1	6.2e-05	19.7	0.3
GCF_003207435.1	NZ_QITC01000004.1	82746	81694	lcl|ORF306_NZ_QITC01000004.1:82746:81694	TIGR01865.1	0.0011	15.6	0.0
GCF_001052785.1	NZ_JWDN01000145.1	1403	2083	lcl|ORF61_NZ_JWDN01000145.1:1403:2083	TIGR03031.1	0.034	11.0	0.0
GCF_003203495.1	NZ_BGNF01000039.1	22054	20438	lcl|ORF27_NZ_BGNF01000039.1:22054:20438	TIGR03031.1	0.0033	14.0	0.6
GCF_008120175.1	NZ_QFVG01000003.1	271619	272632	lcl|ORF154_NZ_QFVG01000003.1:271619:272632	TIGR01865.1	0.0037	14.0	0.0
GCF_002884325.1	NZ_POHU01000098.1	450	1	lcl|ORF1_NZ_POHU01000098.1:450:1	TIGR01865.1	0.11	9.7	0.1
GCF_000245735.1	NZ_AHTH01000037.1	50812	52506	lcl|ORF35_NZ_AHTH01000037.1:50812:52506	TIGR01865.1	0.00023	17.3	0.1
GCF_001241325.1	NZ_LHFL01000002.1	18214	17822	lcl|ORF121_NZ_LHFL01000002.1:18214:17822	TIGR01865.1	0.005	13.3	0.2
GCF_001456315.1	NZ_CP009885.1	1265592	1264978	lcl|ORF2202_NZ_CP009885.1:1265592:1264978	TIGR01865.1	0.00033	16.5	0.0
GCF_900478655.1	NZ_UCUV01000003.1	19862	20551	lcl|ORF157_NZ_UCUV01000003.1:19862:20551	TIGR01865.1	0.0016	14.9	0.1
GCF_003332755.1	NZ_QDGO01000014.1	4930	5451	lcl|ORF44_NZ_QDGO01000014.1:4930:5451	TIGR01865.1	0.034	11.6	0.0
GCF_902164725.1	NZ_LR607338.1	4243507	4244532	lcl|ORF1290_NZ_LR607338.1:4243507:4244532	TIGR01865.1	0.031	10.4	0.0
GCF_013328495.1	NZ_JABUGL010000013.1	182116	182637	lcl|ORF92_NZ_JABUGL010000013.1:182116:182637	TIGR01865.1	0.034	11.6	0.0
GCF_009394595.1	NZ_RYEI01000014.1	73883	73503	lcl|ORF64_NZ_RYEI01000014.1:73883:73503	TIGR01865.1	0.0017	14.9	0.9
GCF_001582795.1	NZ_LBAU01000003.1	191057	191377	lcl|ORF131_NZ_LBAU01000003.1:191057:191377	TIGR01865.1	2.8e-05	20.0	0.0
GCF_002884015.1	NZ_POHZ01000046.1	26465	25488	lcl|ORF33_NZ_POHZ01000046.1:26465:25488	TIGR01865.1	1.4e-05	22.4	0.1
GCF_002884015.1	NZ_POHZ01000046.1	26465	25488	lcl|ORF33_NZ_POHZ01000046.1:26465:25488	TIGR03031.1	0.03	11.4	0.0
GCF_001655615.1	NZ_CP011567.1	839279	840037	lcl|ORF2850_NZ_CP011567.1:839279:840037	TIGR01865.1	3.2e-06	24.6	0.1
GCF_008802495.1	NZ_VZIO01000008.1	157151	157810	lcl|ORF130_NZ_VZIO01000008.1:157151:157810	TIGR01865.1	2.8e-05	21.7	0.0
GCF_009184355.1	NZ_WELC01000017.1	61152	60493	lcl|ORF156_NZ_WELC01000017.1:61152:60493	TIGR01865.1	0.00047	17.0	0.0
GCF_009184355.1	NZ_WELC01000004.1	180419	179718	lcl|ORF257_NZ_WELC01000004.1:180419:179718	TIGR01865.1	0.22	8.2	4.1
GCF_001750315.1	NZ_MIPZ01000007.1	54889	54335	lcl|ORF27_NZ_MIPZ01000007.1:54889:54335	TIGR01865.1	1.6e-06	24.7	0.0
GCF_000790115.1	NZ_JTNI01000044.1	3170	3808	lcl|ORF30_NZ_JTNI01000044.1:3170:3808	TIGR01865.1	5e-06	24.1	0.0
GCF_000790115.1	NZ_JTNI01000044.1	3170	3808	lcl|ORF30_NZ_JTNI01000044.1:3170:3808	TIGR03031.1	0.0038	14.5	0.0
GCF_002048425.1	NZ_MZCV01000020.1	47791	48429	lcl|ORF26_NZ_MZCV01000020.1:47791:48429	TIGR01865.1	0.0019	14.6	0.3
GCF_003625675.1	NZ_QZHS01000015.1	9145	8801	lcl|ORF12_NZ_QZHS01000015.1:9145:8801	TIGR01865.1	0.014	10.4	0.1
